Plate Number,Entry Time,Exit Time,Location
UPISENSSES,2025-11-06 18:18:44,2025-11-06 18:18:44,video_20250910_105621
HELENEHY,2025-11-06 18:18:47,2025-11-06 18:18:47,video_20250910_105621
PONERSSA,2025-11-06 18:18:51,2025-11-06 18:18:51,video_20250910_105621
ORTEERSZ,2025-11-06 18:18:52,2025-11-06 18:18:52,video_20250910_105621
PARERSSS,2025-11-06 18:18:53,2025-11-06 18:18:53,video_20250910_105621
LARISERSSZS,2025-11-06 18:18:55,2025-11-06 18:18:55,video_20250910_105621
FERNSERSS,2025-11-06 18:18:56,2025-11-06 18:18:56,video_20250910_105621
PORSCSSY,2025-11-06 18:18:58,2025-11-06 18:18:58,video_20250910_105621
TPSEF352,2025-11-06 18:19:01,2025-11-08 00:16:48,video_20250910_105621
PORES,2025-11-06 18:19:01,2025-11-06 18:19:01,video_20250910_105621
TPISESETS,2025-11-06 18:19:02,2025-11-06 18:19:02,video_20250910_105621
TRISERSS25,2025-11-06 18:19:03,2025-11-08 00:16:49,video_20250910_105621
WISEISZS,2025-11-06 18:19:03,2025-11-06 18:19:03,video_20250910_105621
ERTER3S2S,2025-11-06 18:19:04,2025-11-08 00:16:50,video_20250910_105621
FTPISERS525,2025-11-06 18:19:04,2025-11-08 00:16:51,video_20250910_105621
ORSRS,2025-11-06 18:19:05,2025-11-06 18:19:05,video_20250910_105621
UFTSEFSS23,2025-11-06 18:19:06,2025-11-08 00:16:53,video_20250910_105621
ORRSERSSZS,2025-11-06 18:19:07,2025-11-06 18:19:07,video_20250910_105621
PURNSTRSSZG,2025-11-06 18:19:07,2025-11-06 18:19:07,video_20250910_105621
PRESERSSZY,2025-11-06 18:19:09,2025-11-06 18:19:09,video_20250910_105621
PORSERASZ,2025-11-06 18:19:10,2025-11-06 18:19:10,video_20250910_105621
ARISESSS,2025-11-06 18:19:11,2025-11-06 18:19:11,video_20250910_105621
INTERIOR,2025-11-06 18:19:11,2025-11-06 18:19:11,video_20250910_105621
APISERASE,2025-11-06 18:19:12,2025-11-06 18:19:12,video_20250910_105621
UPUSEFSZ,2025-11-06 18:19:13,2025-11-06 18:19:13,video_20250910_105621
BSASEIZE,2025-11-06 18:19:14,2025-11-06 18:19:14,video_20250910_105621
TISERSSTS,2025-11-06 18:19:15,2025-11-06 18:19:15,video_20250910_105621
UPISEFISZS,2025-11-06 18:19:16,2025-11-06 18:19:16,video_20250910_105621
PURISERSSZS,2025-11-06 18:19:18,2025-11-06 18:19:18,video_20250910_105621
FORTSEF3525,2025-11-06 18:19:18,2025-11-08 00:17:04,video_20250910_105621
UPISEFS525,2025-11-06 18:19:19,2025-11-08 00:17:05,video_20250910_105621
PORVSERSSZS,2025-11-06 18:19:20,2025-11-06 18:19:20,video_20250910_105621
ARASA,2025-11-06 18:19:20,2025-11-06 18:19:20,video_20250910_105621
FTPISERG5Z5,2025-11-06 18:19:21,2025-11-08 00:17:07,video_20250910_105621
FUPSEFISZ,2025-11-06 18:19:23,2025-11-06 18:19:23,video_20250910_105621
FUPISEFIS2S,2025-11-06 18:19:24,2025-11-08 00:17:10,video_20250910_105621
DPISEFSSZS,2025-11-06 18:19:26,2025-11-06 18:19:26,video_20250910_105621
PARISERASZD,2025-11-06 18:19:27,2025-11-06 18:19:27,video_20250910_105621
UALAYEALG,2025-11-06 18:19:29,2025-11-06 18:19:29,video_20250910_105621
UPISEFSSZS,2025-11-06 18:19:29,2025-11-06 18:19:29,video_20250910_105621
FRORTSER9SES,2025-11-06 18:19:35,2025-11-08 00:17:21,video_20250910_105621
PUPRSERSSZ3,2025-11-06 18:19:39,2025-11-08 00:17:24,video_20250910_105621
PUPRSERSSZS,2025-11-06 18:19:41,2025-11-06 18:19:41,video_20250910_105621
FARSERS523,2025-11-06 18:19:42,2025-11-08 00:17:27,video_20250910_105621
PPTBEESEZS,2025-11-06 18:19:46,2025-11-06 18:19:46,video_20250910_105621
ANMAYAIE,2025-11-06 18:19:53,2025-11-06 18:19:53,video_20250910_105621
EMERNN,2025-11-06 18:19:56,2025-11-06 18:19:56,video_20250910_105621
RONYEPAR7,2025-11-06 18:19:57,2025-11-08 00:17:40,video_20250910_105621
CHOTCES212,2025-11-06 18:19:58,2025-11-08 00:17:41,video_20250910_105621
