epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.34334,3.13062,23.2945,1.92709,0,0,0,0,2.55378,6.88301,1.36569,0.00025005,0.00025005,0.00025005
2,16.8309,2.2282,9.8006,1.22814,0.00017,0.0303,0.00019,7e-05,2.06866,5.36839,1.11585,0.000499717,0.000499717,0.000499717
3,24.2577,2.15308,7.29237,1.25063,0.00042,0.07576,0.00061,0.00026,2.163,4.86904,1.18389,0.00073178,0.00073178,0.00073178
4,31.7141,2.21519,6.60236,1.29131,0.00119,0.18182,0.00077,0.00027,2.09696,4.94503,1.11834,0.000946239,0.000946239,0.000946239
5,39.0155,2.23589,7.11616,1.15786,0.00236,0.34848,0.00492,0.00227,2.14436,4.68633,1.12037,0.0011431,0.0011431,0.0011431
6,46.6317,2.4485,6.52607,1.25378,0.47397,0.09581,0.15675,0.06257,2.21611,4.23702,1.14372,0.00132235,0.00132235,0.00132235
7,54.0926,2.08689,5.01858,1.17999,0.60835,0.18182,0.31734,0.11603,2.19342,3.53511,1.19079,0.00133693,0.00133693,0.00133693
8,61.8161,2.19286,5.37769,1.12437,0.63203,0.15634,0.36899,0.12617,2.06118,3.40562,1.1429,0.00128192,0.00128192,0.00128192
9,69.5501,2.20659,5.46068,1.09315,0.54728,0.21994,0.43278,0.16387,1.99844,3.39143,1.13008,0.00122691,0.00122691,0.00122691
10,77.1931,2.1168,4.8697,1.10692,0.48193,0.45455,0.4472,0.17709,2.06624,2.72594,1.15238,0.0011719,0.0011719,0.0011719
11,84.9612,2.00165,4.94442,1.12016,0.49337,0.44269,0.50607,0.20916,2.02352,2.63294,1.15164,0.00111689,0.00111689,0.00111689
12,92.4844,2.10621,4.71275,1.15727,0.6455,0.49665,0.56877,0.24831,1.8909,2.63053,1.13683,0.00106188,0.00106188,0.00106188
13,100.318,1.94375,4.57454,1.08987,0.72315,0.51451,0.65285,0.25816,1.93331,2.41068,1.13311,0.00100687,0.00100687,0.00100687
14,108.254,1.84633,6.18386,1.04271,0.67579,0.63171,0.71257,0.30323,1.79301,2.2501,1.09393,0.000951857,0.000951857,0.000951857
15,116.078,1.92858,4.03594,1.10753,0.6336,0.83333,0.74868,0.33901,1.68188,2.09279,1.08572,0.000896846,0.000896846,0.000896846
16,123.645,1.79649,3.6557,1.08455,0.75438,0.79115,0.75507,0.3405,1.73793,1.99337,1.07843,0.000841835,0.000841835,0.000841835
17,131.213,1.81592,3.60121,1.08081,0.72631,0.764,0.74245,0.33486,1.73923,1.95057,1.08203,0.000786824,0.000786824,0.000786824
18,139.115,1.79967,3.72902,1.11759,0.75648,0.65902,0.75185,0.36856,1.69282,1.9898,1.07067,0.000731813,0.000731813,0.000731813
19,146.829,1.8177,3.75163,1.07535,0.72107,0.65152,0.7562,0.35209,1.70136,1.94588,1.05185,0.000676802,0.000676802,0.000676802
20,154.56,1.76622,3.91058,1.11256,0.71413,0.83333,0.79021,0.34927,1.69229,1.93839,1.04613,0.000621791,0.000621791,0.000621791
21,162.27,1.72329,7.13826,1.02784,0.71441,0.79598,0.78701,0.34476,1.68869,1.93747,1.04794,0.00056678,0.00056678,0.00056678
22,169.902,1.73994,5.49883,1.05978,0.70284,0.81818,0.7662,0.33522,1.67026,1.99375,1.05562,0.000511769,0.000511769,0.000511769
23,177.524,1.7376,5.72344,1.05314,0.70284,0.82429,0.77761,0.34519,1.61097,2.10344,1.06325,0.000456758,0.000456758,0.000456758
24,185.357,1.70267,5.14732,1.06284,0.72176,0.83333,0.78721,0.34397,1.59578,2.05191,1.06357,0.000401747,0.000401747,0.000401747
25,193.201,1.88205,4.682,1.17849,0.70881,0.83333,0.80296,0.36904,1.59142,1.98773,1.06948,0.000346736,0.000346736,0.000346736
26,200.947,1.77392,4.62843,1.12216,0.71391,0.81818,0.81148,0.38379,1.56041,1.94714,1.06551,0.000291725,0.000291725,0.000291725
27,208.711,1.77735,5.11589,1.1053,0.71416,0.80303,0.80738,0.40072,1.52601,1.93052,1.05341,0.000236714,0.000236714,0.000236714
28,216.537,1.6025,4.93877,1.10107,0.83972,0.68182,0.80426,0.40733,1.51221,1.91539,1.04372,0.000181703,0.000181703,0.000181703
29,224.226,1.73028,4.6982,1.04749,0.73668,0.76307,0.8115,0.42602,1.50014,1.90178,1.03704,0.000126692,0.000126692,0.000126692
30,231.81,1.61591,4.49925,1.04391,0.72566,0.76151,0.80601,0.42767,1.49061,1.90552,1.03602,7.1681e-05,7.1681e-05,7.1681e-05
