epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.271,0.35992,10.1567,0.17866,0,0,0,0,0.14579,94.6045,0.06781,0.00055441,0.00055441,0.00055441
2,425.753,0.37245,0.65509,0.19647,0.00068,0.50877,0.00477,0.00103,0.16607,0.45123,0.08344,0.00107344,0.00107344,0.00107344
3,637.056,0.49439,0.66032,0.25497,0.13033,0.12281,0.08286,0.02154,0.14356,0.14774,0.07734,0.0015558,0.0015558,0.0015558
4,849.966,0.36382,0.61518,0.19685,0,0,0,0,0.14526,0.23996,0.07178,0.00150197,0.00150197,0.00150197
5,1086.51,0.46638,0.70225,0.23026,0.0731,0.4386,0.10687,0.03255,0.17503,0.17461,0.08843,0.00144696,0.00144696,0.00144696
6,1302.06,0.40452,0.49531,0.21404,0.07989,0.61404,0.15994,0.04423,0.15825,0.12951,0.07562,0.00139195,0.00139195,0.00139195
7,1517.61,0.39795,0.48659,0.20061,0.25995,0.20346,0.14128,0.05,0.14418,0.2387,0.07226,0.00133693,0.00133693,0.00133693
8,1730.35,0.40324,0.46356,0.19835,0.22644,0.15789,0.18405,0.06366,0.13863,0.12042,0.08657,0.00128192,0.00128192,0.00128192
9,1944.56,0.40493,0.42444,0.21545,0.26984,0.36842,0.24176,0.11605,0.11294,0.14943,0.06266,0.00122691,0.00122691,0.00122691
10,2194.76,0.38339,0.37542,0.2148,0.3438,0.54386,0.34989,0.13505,0.1117,0.10555,0.05998,0.0011719,0.0011719,0.0011719
11,2553.36,0.35146,0.31759,0.18291,0.33459,0.52933,0.45874,0.15579,0.11878,0.08946,0.06102,0.00111689,0.00111689,0.00111689
12,2918.58,0.34371,0.36226,0.18271,0.09418,0.96491,0.53949,0.19674,0.10573,0.11796,0.05873,0.00106188,0.00106188,0.00106188
13,3274.64,0.33909,0.33688,0.18014,0.49073,0.63158,0.53669,0.20831,0.11705,0.08716,0.06085,0.00100687,0.00100687,0.00100687
14,3662.61,0.28774,0.36827,0.13867,0.53676,0.47368,0.56454,0.2182,0.11188,0.09438,0.05617,0.000951857,0.000951857,0.000951857
15,4032.31,0.32711,0.31215,0.16033,0.38119,0.5188,0.49374,0.19238,0.10387,0.08823,0.05698,0.000896846,0.000896846,0.000896846
16,4391.62,0.42717,0.51421,0.24163,0.22467,0.89474,0.44841,0.17154,0.10516,0.15844,0.05926,0.000841835,0.000841835,0.000841835
17,6284.74,0.32676,0.36964,0.16531,0.58572,0.31579,0.45475,0.17626,0.10699,0.09667,0.05872,0.000786824,0.000786824,0.000786824
18,6488.71,0.33872,0.30721,0.19666,0.39055,0.4386,0.4844,0.20261,0.10041,0.09167,0.0563,0.000731813,0.000731813,0.000731813
19,6693.45,0.35157,0.31686,0.20051,0.48512,0.70175,0.60126,0.24122,0.10178,0.07838,0.05687,0.000676802,0.000676802,0.000676802
20,6925.46,0.36406,0.26823,0.20286,0.62452,0.46698,0.57477,0.2332,0.10039,0.07463,0.05615,0.000621791,0.000621791,0.000621791
21,7159.36,0.19406,0.15279,0.10804,0.5354,0.36842,0.4924,0.21368,0.0997,0.12259,0.05476,0.00056678,0.00056678,0.00056678
22,7376.53,0.21531,0.16993,0.13102,0.67037,0.36842,0.55165,0.22891,0.10154,0.07953,0.05585,0.000511769,0.000511769,0.000511769
23,7601.54,0.20523,0.16791,0.12068,0.5931,0.35088,0.50123,0.21678,0.09972,0.07799,0.0547,0.000456758,0.000456758,0.000456758
24,7846.93,0.17815,0.14125,0.1093,0.39302,0.63618,0.53375,0.25581,0.09443,0.07053,0.05383,0.000401747,0.000401747,0.000401747
25,8105.23,0.19686,0.15554,0.11197,0.41449,0.79487,0.59579,0.28699,0.0941,0.06675,0.053,0.000346736,0.000346736,0.000346736
26,8351.77,0.15646,0.13248,0.0972,0.50325,0.82456,0.62474,0.28314,0.09239,0.06796,0.05287,0.000291725,0.000291725,0.000291725
27,8568.21,0.17526,0.1391,0.11192,0.39499,0.77193,0.58537,0.28922,0.09376,0.06644,0.05341,0.000236714,0.000236714,0.000236714
28,8774.83,0.18004,0.13466,0.1061,0.49217,0.84211,0.59514,0.30331,0.08805,0.06278,0.05205,0.000181703,0.000181703,0.000181703
29,8978.31,0.16115,0.12673,0.10269,0.50184,0.75439,0.66862,0.32435,0.08893,0.0608,0.0522,0.000126692,0.000126692,0.000126692
30,9182.99,0.18985,0.15171,0.10756,0.44714,0.73785,0.63726,0.31489,0.08913,0.0619,0.05198,7.1681e-05,7.1681e-05,7.1681e-05
