epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.52654,3.89124,131.615,1.68132,0,0,0,0,5.02078,513.132,2.72568,0,0,0
2,11.8471,4.11744,527.531,3.57523,0,0,0,0,4.9638,411.097,2.63782,1.9802e-05,1.9802e-05,1.9802e-05
3,17.7634,3.7706,137.48,2.18387,0,0,0,0,4.79328,282.888,2.49891,3.9208e-05,3.9208e-05,3.9208e-05
4,23.5446,5.06206,99.0239,2.5374,0,0,0,0,4.41779,188.885,2.27872,5.8218e-05,5.8218e-05,5.8218e-05
5,29.4075,5.58731,74.1612,3.96021,0,0,0,0,4.03044,123.373,2.11278,7.6832e-05,7.6832e-05,7.6832e-05
6,35.1694,5.50906,89.7608,2.41359,0,0,0,0,4.32397,64.9352,2.01222,9.505e-05,9.505e-05,9.505e-05
7,41.1637,3.9431,26.513,1.96701,0,0,0,0,4.08667,54.3764,2.03691,0.000112872,0.000112872,0.000112872
8,47.4702,4.38041,32.4363,2.1527,0.00133,0.33333,0.00118,0.0002,3.84425,44.0607,1.95865,0.000130298,0.000130298,0.000130298
9,53.341,3.31837,20.2373,1.84777,0.00133,0.33333,0.00118,0.0002,3.84425,44.0607,1.95865,0.000147328,0.000147328,0.000147328
10,59.2864,5.48468,59.7569,2.47719,0.01667,0.33333,0.01824,0.00282,3.83081,34.3317,1.82364,0.000163962,0.000163962,0.000163962
11,65.2836,3.34116,11.4532,1.63498,0.01667,0.33333,0.01824,0.00282,3.83081,34.3317,1.82364,0.0001802,0.0001802,0.0001802
12,71.2357,4.27741,16.156,1.64489,0.19395,0.33333,0.13814,0.02701,3.51318,33.1758,1.55202,0.000196042,0.000196042,0.000196042
13,77.0529,2.9697,12.411,1.40487,0.19395,0.33333,0.13814,0.02701,3.51318,33.1758,1.55202,0.000211488,0.000211488,0.000211488
14,83.0201,4.22694,20.0372,1.43898,0.50039,0.33333,0.38405,0.05058,3.41144,45.3076,1.40578,0.000226538,0.000226538,0.000226538
15,89.0404,3.00809,12.5152,1.35583,0.50039,0.33333,0.38405,0.05058,3.41144,45.3076,1.40578,0.000241192,0.000241192,0.000241192
16,94.9483,3.58595,19.3395,1.38527,0.24163,0.33333,0.32803,0.04703,3.30416,42.2599,1.36711,0.00025545,0.00025545,0.00025545
17,100.621,2.86081,12.1716,1.08502,0.24163,0.33333,0.32803,0.04703,3.30416,42.2599,1.36711,0.000269312,0.000269312,0.000269312
18,106.336,3.14818,11.0285,1.17511,0.07473,0.83333,0.06871,0.01717,3.11478,37.1473,1.28998,0.000282778,0.000282778,0.000282778
19,112.025,3.33566,7.42221,1.73842,0.07473,0.83333,0.06871,0.01717,3.11478,37.1473,1.28998,0.000295848,0.000295848,0.000295848
20,117.868,3.23296,6.0462,1.20264,0.01861,0.33333,0.00868,0.00364,2.71277,81.9524,1.27778,0.000308522,0.000308522,0.000308522
21,123.506,2.99183,6.7977,1.04667,0.01861,0.33333,0.00868,0.00364,2.71277,81.9524,1.27778,0.0003208,0.0003208,0.0003208
22,129.258,3.30672,10.9694,1.22324,0.01406,0.33333,0.0069,0.00257,3.14086,51.0443,1.4421,0.000332682,0.000332682,0.000332682
23,134.936,2.9046,6.71983,1.20164,0.01406,0.33333,0.0069,0.00257,3.14086,51.0443,1.4421,0.000344168,0.000344168,0.000344168
24,140.6,3.50081,5.44308,1.2836,0.01406,0.33333,0.0069,0.00257,3.14086,51.0443,1.4421,0.000355258,0.000355258,0.000355258
25,146.32,2.4647,4.44751,1.14534,0.0178,0.16667,0.00832,0.00373,3.02845,63.7353,1.43814,0.000365952,0.000365952,0.000365952
26,151.977,2.45046,3.30227,1.0772,0.0178,0.16667,0.00832,0.00373,3.02845,63.7353,1.43814,0.00037625,0.00037625,0.00037625
27,157.604,2.53255,4.95336,1.15609,0.0178,0.16667,0.00832,0.00373,3.02845,63.7353,1.43814,0.000386152,0.000386152,0.000386152
28,163.336,2.57365,7.42463,1.29576,0.05083,0.16667,0.02448,0.01333,2.39719,35.079,1.23364,0.000395658,0.000395658,0.000395658
29,169.107,2.46348,7.09218,1.08744,0.05083,0.16667,0.02448,0.01333,2.39719,35.079,1.23364,0.000404768,0.000404768,0.000404768
30,174.789,2.78961,4.4629,1.01621,0.05083,0.16667,0.02448,0.01333,2.39719,35.079,1.23364,0.000413482,0.000413482,0.000413482
31,180.503,2.13349,3.45591,1.03705,0.1072,0.16667,0.03924,0.01982,2.31543,18.4607,1.19029,0.0004218,0.0004218,0.0004218
32,186.145,2.54313,7.34912,1.03677,0.1072,0.16667,0.03924,0.01982,2.31543,18.4607,1.19029,0.000429722,0.000429722,0.000429722
33,192.206,2.78734,6.7087,1.1093,0.1072,0.16667,0.03924,0.01982,2.31543,18.4607,1.19029,0.000437248,0.000437248,0.000437248
34,198.149,2.73646,5.17294,1.20135,0.01296,0.16667,0.00456,0.0016,2.91804,18.5091,1.21552,0.000444378,0.000444378,0.000444378
35,204.116,3.31476,7.14823,1.15898,0.01296,0.16667,0.00456,0.0016,2.91804,18.5091,1.21552,0.000451112,0.000451112,0.000451112
36,210.15,2.95969,6.00117,1.14259,0.01296,0.16667,0.00456,0.0016,2.91804,18.5091,1.21552,0.00045745,0.00045745,0.00045745
37,216.023,3.07891,6.92383,1.07078,0.01296,0.16667,0.00456,0.0016,2.91804,18.5091,1.21552,0.000463392,0.000463392,0.000463392
38,222.114,3.09711,8.20761,0.98064,0.20912,0.16667,0.07737,0.03779,2.15909,8.77152,1.09831,0.000468938,0.000468938,0.000468938
39,227.747,2.72177,3.68411,1.1625,0.20912,0.16667,0.07737,0.03779,2.15909,8.77152,1.09831,0.000474088,0.000474088,0.000474088
40,233.403,2.60117,5.44175,1.17601,0.20912,0.16667,0.07737,0.03779,2.15909,8.77152,1.09831,0.000478842,0.000478842,0.000478842
41,239.012,2.30606,4.1386,1.13774,0.20912,0.16667,0.07737,0.03779,2.15909,8.77152,1.09831,0.0004832,0.0004832,0.0004832
42,244.678,2.48933,3.85309,1.12682,0.52067,0.33333,0.38536,0.13188,2.19529,11.6824,1.13322,0.000487162,0.000487162,0.000487162
43,250.408,2.89858,4.72795,1.15576,0.52067,0.33333,0.38536,0.13188,2.19529,11.6824,1.13322,0.000490728,0.000490728,0.000490728
44,256.16,2.89595,3.69478,1.08214,0.52067,0.33333,0.38536,0.13188,2.19529,11.6824,1.13322,0.000493898,0.000493898,0.000493898
45,261.848,3.06031,3.33372,1.03821,0.52067,0.33333,0.38536,0.13188,2.19529,11.6824,1.13322,0.000496672,0.000496672,0.000496672
46,267.666,2.90979,3.54721,1.20484,0.6337,0.5,0.46992,0.22515,2.10211,10.3114,1.17458,0.00049905,0.00049905,0.00049905
47,273.419,1.84857,4.68208,0.94185,0.6337,0.5,0.46992,0.22515,2.10211,10.3114,1.17458,0.000501032,0.000501032,0.000501032
48,279.167,2.25445,5.78682,1.11683,0.6337,0.5,0.46992,0.22515,2.10211,10.3114,1.17458,0.000502618,0.000502618,0.000502618
49,284.881,2.45843,5.57818,0.93512,0.6337,0.5,0.46992,0.22515,2.10211,10.3114,1.17458,0.000503808,0.000503808,0.000503808
50,290.674,2.59923,3.49059,1.18271,0.62542,0.16667,0.24723,0.14347,2.0078,5.76384,1.07516,0.000504602,0.000504602,0.000504602
51,296.351,2.35261,3.21345,1.10315,0.62542,0.16667,0.24723,0.14347,2.0078,5.76384,1.07516,0.000505,0.000505,0.000505
52,302.039,1.70186,2.82105,0.86028,0.62542,0.16667,0.24723,0.14347,2.0078,5.76384,1.07516,0.000505002,0.000505002,0.000505002
53,307.671,2.03048,2.21327,1.07208,0.62542,0.16667,0.24723,0.14347,2.0078,5.76384,1.07516,0.000504608,0.000504608,0.000504608
54,313.413,2.38318,2.8221,1.10298,0.62542,0.16667,0.24723,0.14347,2.0078,5.76384,1.07516,0.000503818,0.000503818,0.000503818
55,319.183,2.77008,3.0809,1.0082,0.89788,0.16667,0.2552,0.0949,2.04072,3.48941,1.0568,0.000502632,0.000502632,0.000502632
56,324.759,1.96418,2.71691,1.07265,0.89788,0.16667,0.2552,0.0949,2.04072,3.48941,1.0568,0.00050105,0.00050105,0.00050105
57,330.502,2.30281,4.47639,1.13697,0.89788,0.16667,0.2552,0.0949,2.04072,3.48941,1.0568,0.000499072,0.000499072,0.000499072
58,336.121,2.88143,3.38335,1.10861,0.89788,0.16667,0.2552,0.0949,2.04072,3.48941,1.0568,0.000496698,0.000496698,0.000496698
59,341.79,2.12659,2.41628,0.97928,0.89788,0.16667,0.2552,0.0949,2.04072,3.48941,1.0568,0.000493928,0.000493928,0.000493928
60,347.521,2.26037,2.39537,0.96454,0.76127,0.66667,0.70552,0.28058,1.82851,2.53095,1.02817,0.000490762,0.000490762,0.000490762
61,353.255,2.12204,2.58602,1.0304,0.76127,0.66667,0.70552,0.28058,1.82851,2.53095,1.02817,0.0004872,0.0004872,0.0004872
62,359.153,2.04272,1.60678,0.93666,0.76127,0.66667,0.70552,0.28058,1.82851,2.53095,1.02817,0.000483242,0.000483242,0.000483242
63,364.955,1.79801,2.7147,1.06615,0.76127,0.66667,0.70552,0.28058,1.82851,2.53095,1.02817,0.000478888,0.000478888,0.000478888
64,370.674,2.01977,3.27805,0.93398,0.76127,0.66667,0.70552,0.28058,1.82851,2.53095,1.02817,0.000474138,0.000474138,0.000474138
65,376.511,2.1992,4.00858,1.17387,0.83109,0.82213,0.77861,0.40499,1.66837,2.46704,1.04569,0.000468992,0.000468992,0.000468992
66,382.514,2.34778,3.50836,0.86854,0.83109,0.82213,0.77861,0.40499,1.66837,2.46704,1.04569,0.00046345,0.00046345,0.00046345
67,388.415,1.91983,2.03995,0.98945,0.83109,0.82213,0.77861,0.40499,1.66837,2.46704,1.04569,0.000457512,0.000457512,0.000457512
68,394.557,1.63827,1.8793,0.96337,0.83109,0.82213,0.77861,0.40499,1.66837,2.46704,1.04569,0.000451178,0.000451178,0.000451178
69,400.7,2.56483,2.33277,1.09836,0.83109,0.82213,0.77861,0.40499,1.66837,2.46704,1.04569,0.000444448,0.000444448,0.000444448
70,406.469,2.12964,2.23287,0.88733,0.83109,0.82213,0.77861,0.40499,1.66837,2.46704,1.04569,0.000437322,0.000437322,0.000437322
71,412.305,2.23364,1.74558,1.11066,0.66711,0.83333,0.69241,0.32441,1.82706,2.6396,1.08845,0.0004298,0.0004298,0.0004298
72,417.98,3.82613,9.05439,1.45271,0.66711,0.83333,0.69241,0.32441,1.82706,2.6396,1.08845,0.000421882,0.000421882,0.000421882
73,423.778,2.30838,1.84604,1.06384,0.66711,0.83333,0.69241,0.32441,1.82706,2.6396,1.08845,0.000413568,0.000413568,0.000413568
74,429.711,1.81738,2.0647,1.01289,0.66711,0.83333,0.69241,0.32441,1.82706,2.6396,1.08845,0.000404858,0.000404858,0.000404858
75,435.559,1.71898,1.8276,0.94088,0.66711,0.83333,0.69241,0.32441,1.82706,2.6396,1.08845,0.000395752,0.000395752,0.000395752
76,441.259,1.67467,1.58666,0.92855,0.66711,0.83333,0.69241,0.32441,1.82706,2.6396,1.08845,0.00038625,0.00038625,0.00038625
77,447.021,2.44302,2.4276,1.00242,0.64988,0.83333,0.69247,0.31795,1.80191,1.82013,1.04694,0.000376352,0.000376352,0.000376352
78,452.678,1.7093,2.44016,1.07957,0.64988,0.83333,0.69247,0.31795,1.80191,1.82013,1.04694,0.000366058,0.000366058,0.000366058
