Phase,N_Car,N_Bike,N_Bus,S_Car,S_Bike,S_Bus,E_Car,E_Bike,E_Bus,W_Car,W_Bike,W_Bus
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
4,1,4,0,1,1,2,3,3,2,3,1,0
1,2,3,2,3,2,2,3,3,0,1,1,1
2,1,3,1,2,3,1,3,3,2,2,3,1
3,3,3,0,1,4,0,2,2,2,2,2,1
